"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100996442",57.1746061137369,-1.48602984371113,0.377796383261201,-3.93341468990115,8.37475706536356e-05,0.00937948272327573
"100132287",475.833677481146,-1.06399193175718,0.329272769132228,-3.2313389733419,0.00123211725735401,0.0308836054092003
"100133331",381.478719791674,-1.09383849987176,0.340152211656693,-3.21573243503041,0.00130112080791138,0.0317145395230563
"107984841",37.3289221363317,-1.22584240353428,0.420098557259629,-2.91798765397016,0.00352298298389943,0.0458639292709372
"107984847",46.1855076297074,-1.47389383648598,0.421679275851119,-3.49529588218692,0.000473536494051287,0.0222216919610684
"100288069",30.1087770086199,-1.49642022002614,0.462559354550097,-3.23508800612543,0.00121605242414984,0.0308797574591493
"375790",123.879847689722,-2.13245411673998,0.664193998126742,-3.21058925969557,0.00132463122365485,0.0318160298190431
"80772",218.033687083665,-1.70877730470148,0.552342303266263,-3.0936926152436,0.0019768218463687,0.0364535361907753
"83756",18.5750611937847,-2.04161805927377,0.514396013230455,-3.96896166914713,7.21864912621875e-05,0.00869489694324803
"54998",1099.33134955923,-1.48100109140743,0.490869762733539,-3.01709578353346,0.00255209156892693,0.040012405481179
"55210",160.295357983262,-1.59334700754662,0.518811461553453,-3.07114843372144,0.00213237115936908,0.0375820307620283
"115110",256.256234039066,-1.24651267372255,0.427227823167228,-2.91767671983907,0.00352649755477751,0.0458639292709372
"8764",2124.55634650321,-1.33314392941174,0.443496913229941,-3.00598243108976,0.0026472429265966,0.040689320440665
"107985376",89.8001224957692,-1.74369407975465,0.586644363752742,-2.97231881441816,0.00295559599773234,0.0424345662249089
"387509",38.6252384307105,-2.19093965614299,0.542108488440579,-4.04151512632723,5.31069547053926e-05,0.00733033718364236
"83715",419.309591268878,-1.89241819222011,0.536411823114436,-3.52792036020501,0.000418838149639171,0.0205260759345709
"5293",3134.58192228573,-0.856887462657133,0.266636747551247,-3.2136885501592,0.00131041729058052,0.0317713520834487
"26270",417.830568641542,-2.12477536149225,0.595728943527107,-3.5666814321832,0.000361530534686537,0.0186454107855384
"57085",1947.64665816421,-2.20381801623645,0.53243512842335,-4.1391296302376,3.48625930006148e-05,0.00607524261276964
"90231",1307.33815747701,-1.97407019967727,0.524222743230759,-3.76570880445052,0.000166077262492011,0.013306224806903
"5351",526.22984931724,-1.67142918927806,0.491504185593391,-3.40064080483902,0.000672281026557618,0.0255389210651303
"60672",585.007220287388,-1.71393013862029,0.511244633802183,-3.35246577724172,0.000800951430601408,0.0269902176893795
"79180",13978.2644023918,-1.31383292441078,0.395531176232921,-3.32169245651848,0.000894732537336017,0.0280302613550593
"23400",412.286417293926,-1.59564050115848,0.541345585412469,-2.94754505099125,0.00320308076375617,0.0440360283094884
"8659",57.9311107003593,-1.58695231670452,0.510583423807024,-3.10811562363667,0.00188284389838304,0.03536481583662
"8574",279.419437227145,-1.81527140752809,0.571812844257043,-3.17459012290407,0.00150048286857434,0.0330683768016515
"978",1345.17173033379,-1.39439056561446,0.471242230183982,-2.95896775861974,0.00308671393937755,0.0431181152593812
"65018",1258.34640895319,-1.909947166821,0.568313585053899,-3.36072762828617,0.000777374444455935,0.0269757693667147
"102464833",162.313760104932,-2.22121331767321,0.577038554491799,-3.84933259724638,0.000118440095761517,0.0110078225000754
"100861548",728.282515132118,-1.53442961227737,0.497835413625149,-3.08220261211216,0.0020547492764111,0.0368664860520555
